group,names,scores,logfoldchanges,pvals,pvals_adj
15,FABP5,12.99054,6.097821,1.38448316804674e-38,1.1998497756747924e-36
15,CD3G,12.983881,3.1743445,1.5103031622902183e-38,1.3038563377217785e-36
15,UCP2,12.961604,3.18754,2.0197886948558912e-38,1.7370182775760665e-36
15,PSMB1,12.958127,3.229428,2.1134552660079915e-38,1.8106342328555486e-36
15,RPS7,12.950113,1.7705969,2.3460854656327007e-38,1.9965809046639308e-36
15,CD52,12.950041,2.7615485,2.3482908261217042e-38,1.9965809046639308e-36
15,TUFM,12.945048,3.3646433,2.5060397243041175e-38,2.1226629302539705e-36
15,TMBIM6,12.932032,2.8683705,2.9686967792963444e-38,2.505089019100968e-36
15,VDAC1,12.923509,4.0895267,3.3166403245319015e-38,2.7882138099042346e-36
15,RBBP7,12.915073,3.9927275,3.700896272056614e-38,3.099638720991894e-36
15,ATP5F1D,12.9068165,2.8495839,4.1198240949866594e-38,3.437679242976601e-36
15,NDUFA11,12.9021015,3.0499802,4.379853158909621e-38,3.641117926106865e-36
15,POLR2L,12.9003935,3.1012266,4.478039643888105e-38,3.709006562609314e-36
15,RPL37A,12.894111,1.8229368,4.858342752248868e-38,4.0092044638594896e-36
15,MT-ATP6,12.892585,2.0586288,4.955463724030941e-38,4.0743713827691757e-36
15,PCBP1,12.888481,2.6596315,5.226305987080654e-38,4.281374605328918e-36
15,PTBP1,12.886982,3.7043836,5.328901134209259e-38,4.349545994853129e-36
15,PSMA5,12.885079,3.9644535,5.461912860915427e-38,4.441960002757525e-36
15,LCK,12.869781,3.1896915,6.659091198789286e-38,5.396027474657917e-36
15,CCT4,12.865525,3.3747277,7.036207010691145e-38,5.681104408704081e-36
15,C9orf16,12.864212,2.8079984,7.156837126557039e-38,5.7577909011720184e-36
15,RPN2,12.849904,3.3897521,8.611745794008829e-38,6.90354450329722e-36
15,RPL7A,12.84785,1.8102636,8.843419334223119e-38,7.064035244696518e-36
15,TK1,12.840212,9.099036,9.760703048264606e-38,7.769104277352743e-36
15,NDUFB4,12.838841,3.166815,9.935018562407711e-38,7.879909068968321e-36
15,IL2RG,12.818463,2.9556248,1.2923670271331095e-37,1.0214250102475273e-35
15,HIST1H1D,12.816967,4.1667323,1.31753484383493e-37,1.0376627054287312e-35
15,TMPO,12.813035,4.3251443,1.3860609741836148e-37,1.0878155463820076e-35
15,CD3E,12.806319,2.6767213,1.5113570380443314e-37,1.1820181211129987e-35
15,NDUFB10,12.805844,3.329779,1.520624999123854e-37,1.1851371086921537e-35
15,ATP5IF1,12.805427,3.1519487,1.5288275226052374e-37,1.1874070094255073e-35
15,LSM7,12.804209,3.1604724,1.5530162648553976e-37,1.2020345889980779e-35
15,PTPRC,12.797842,2.2449908,1.6857078151573485e-37,1.300254213712091e-35
15,SUMO1,12.792364,3.5911682,1.8088654761345538e-37,1.390472413606719e-35
15,SMC3,12.783595,4.518148,2.0248978450623843e-37,1.5512237894290198e-35
15,UQCRC1,12.778398,3.543249,2.1648358731881193e-37,1.6527859186932152e-35
15,RPS21,12.777889,1.7015619,2.179039270647219e-37,1.6579903548795753e-35
15,ROMO1,12.768839,3.3725636,2.4477913457506742e-37,1.8561866400918795e-35
15,CARHSP1,12.764853,5.0141487,2.5763764514823548e-37,1.94711602121121e-35
15,ARL6IP4,12.761952,2.676215,2.674136459730254e-37,2.0107120447283508e-35
